emulator,label,build,metric,runs,mean_ticks_avg,mean_ticks_min,mean_ticks_max,mean_ticks_stdev,total_ticks_spread_percent,over_budget_total,all_pass,checksum_set,status_set
desmume,gate,bench-nds-hw-arm-backport-gate,things_final,2,27.00,27,27,0.00,0.000000,0,1,8c4d9050,124
desmume,gate,bench-nds-hw-arm-backport-gate,timer_read_overhead_ticks,2,13.00,13,13,0.00,0.000000,0,1,00000000,124
desmume,gate,bench-nds-hw-arm-backport-gate,touch_create_and_drag,2,10913.00,10913,10913,0.00,0.000000,0,1,d8635f64,124
desmume,gate,bench-nds-hw-arm-backport-gate,visible_things_rendered,2,5166.00,5166,5166,0.00,0.000000,0,1,8c4d9050,124
desmume,length,bench-nds-hw-arm-backport-length,behavior_pass,2,1.00,1,1,0.00,0.000000,0,1,8c4d9050,124
desmume,length,bench-nds-hw-arm-backport-length,benchmark_started,2,1.00,1,1,0.00,0.000000,0,1,00000000,124
desmume,length,bench-nds-hw-arm-backport-length,file_output_ready,2,0.00,0,0,0.00,0.000000,0,1,00000000,124
desmume,length,bench-nds-hw-arm-backport-length,frame_over_1pct_count,2,0.00,0,0,0.00,0.000000,0,1,8c4d9050,124
desmume,length,bench-nds-hw-arm-backport-length,frame_over_2x_count,2,0.00,0,0,0.00,0.000000,0,1,8c4d9050,124
desmume,length,bench-nds-hw-arm-backport-length,frame_total,2,556870.00,556870,556870,0.00,0.000000,456,1,8c4d9050,124
desmume,length,bench-nds-hw-arm-backport-length,hit_test,2,1792.00,1792,1792,0.00,0.000000,0,1,d82df0ac,124
